hanke;kortteli;tontti;asemakaava_lainvoimainen;osa_alue;pienalue;asuinkerrosala;muu_ala;asuntojen_maara;rakentamisvalmiusvuosi;aloitusvuosi;valmistumisvuosi;valmistumisaika;hallinta;hallintasuhde;rahoitusmuoto;hitas;erityisryhmä;talotyyppi;rakennuttaja;maanomistus;post_code;AAGR;AAGR_vaesto;peruskorko
589;20122;2;2007-08-03 00:00:00;204 Hernesaari;2043;5485;542.0;56;2007.0;2010;2012;5.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;REALINVEST OY;Yksityinen;150;5,670495975;1,895882212;1,25
607;45270;30;2004-10-22 00:00:00;451 Vartioharju;4511;379;0.0;3;1992.0;2005;2006;14.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Rivitalo;MUU RAKENNUTTAJA;Yksityinen;950;4,011226385;0,180441803;2,25
611;3058;17;1980-08-27 00:00:00;030 Kaartinkaupunki;302;645;0;4;0;2015;2019;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;AS.OY RAKENNUTTAA;Yksityinen;130;5,883706785;0,401292046;0,25
617;4077;19;1982-11-05 00:00:00;040 Kamppi;407;2750;0;32;0;2015;2016;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;TUNTEMATON;Yksityinen;180;5,720427935;0,666373535;0,25
618;49203;4;1997-01-17 00:00:00;492 Jollas;4921;2100;0.0;11;1992.0;2001;2002;10.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Ok/Paritalo;ETELÄ-SUOMEN SATO OY;Yksityinen;850;4,952378241;0,350145248;5,25
619;28034;1;1953-10-05 00:00:00;285 Veräjämäki;2852;6963;0;85;0;2014;2015;0;Sääntelemätön;Vuokra-asuntoja;Vapaarahoitteinen;Ei Hitas;Vanhukset;Kerrostalo;ESPERI CARE;Yksityinen;650;3,730257739;0,184113281;0,5
625;43258;4;1995-07-28 00:00:00;434 Herttoniemenranta;4341;8100;1120.0;91;1997.0;1998;2000;3.0;Välimuoto;Omistusasuntoja;Vapaarahoitteinen;Hitas;Ei erityisryhmää;Kerrostalo;ASUNTOSÄÄTIÖ;Kaupunki;810;5,694967673;1,673632082;0
626;5094;14;2021-02-05 00:00:00;050 Punavuori;502;4490;1140.0;36;0;2021;2023;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;MIKJU OY;Yksityinen;120;5,723487286;0,587493052;-0,5
627;5094;8;2020-01-22 00:00:00;050 Punavuori;502;1945;770.0;18;0;2020;2022;0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Kerrostalo;NEWIL & BAU;Yksityinen;120;5,723487286;0,587493052;-0,25
640;39082;23;1998-06-26 00:00:00;391 Tapaninvainio;3916;167;0.0;1;1999.0;1998;2006;7.0;Sääntelemätön;Omistusasuntoja;Vapaarahoitteinen;Ei Hitas;Ei erityisryhmää;Pientalo;TUNTEMATON;Yksityinen;780;3,168852193;0,042177595;0
